kepoi_name,disposition,period,time0bk,duration,depth,ingress,impact,kepid
K00001.01,CONFIRMED,2.470613,122.762566,1.724600,14284.000000,0.000000,0.822000,11446443
K00002.01,CONFIRMED,2.204735,121.357802,3.877500,6713.000000,0.000000,0.128200,10666592
K00003.01,CONFIRMED,4.887800,124.812537,2.368400,4323.000000,0.000000,0.029000,10748390
K00004.01,FALSE POSITIVE,3.849372,157.525920,2.927800,1340.000000,0.000000,0.946200,3861595
K00005.01,CANDIDATE,4.780329,132.973250,2.011700,966.000000,0.000000,0.950700,8554498
K00005.02,CANDIDATE,7.051860,133.367000,3.688200,18.000000,0.000000,0.750000,8554498
K00006.01,FALSE POSITIVE,1.334109,133.699050,2.131500,369.000000,0.000000,0.028300,3248033
K00007.01,CONFIRMED,3.213664,123.611540,4.110900,735.000000,0.000000,0.714000,11853905
K00008.01,FALSE POSITIVE,1.160156,121.701720,1.649000,399.000000,0.000000,0.253000,5903312
K00009.01,FALSE POSITIVE,3.719809,135.067510,2.760600,3437.000000,0.000000,0.934000,11553706
K00010.01,CONFIRMED,3.522499,121.118595,3.198400,9165.000000,0.000000,0.640000,6922244
K00011.01,FALSE POSITIVE,3.747840,171.664100,3.664600,764.000000,0.000000,0.031000,11913073
K00012.01,CANDIDATE,17.855149,146.596920,7.406600,9155.000000,0.000000,0.030000,5812701
K00013.01,CONFIRMED,1.763588,120.565126,3.166600,4633.000000,0.000000,0.350000,9941662
K00014.01,FALSE POSITIVE,2.947377,171.528290,3.054000,394.000000,0.000000,0.028000,7684873
K00015.01,FALSE POSITIVE,3.012477,135.258200,2.468500,1653.000000,0.000000,1.030000,3964562
K00016.01,FALSE POSITIVE,0.895278,133.410590,2.812500,1354.000000,0.000000,1.287000,9110357
K00017.01,CONFIRMED,3.234700,121.485799,3.601600,10634.000000,0.000000,0.029000,10874614
K00018.01,CONFIRMED,3.548466,122.900783,4.081100,7215.000000,0.000000,0.010000,8191672
K00019.01,FALSE POSITIVE,1.203195,133.930377,2.078000,2930.000000,0.000000,0.998000,7255336
K00020.01,CONFIRMED,4.437963,171.008355,4.671400,16465.000000,0.000000,0.018000,11804465
K00021.01,FALSE POSITIVE,4.288515,121.972010,2.079700,3408.000000,0.000000,1.030000,10125352
K00022.01,CANDIDATE,7.891450,177.249036,3.793200,10348.000000,0.000000,0.172000,9631995
K00023.01,FALSE POSITIVE,4.693306,136.861964,5.114900,14477.000000,0.000000,0.000000,9071386
K00024.01,FALSE POSITIVE,2.086077,170.964410,1.918500,5417.000000,0.000000,0.930000,4743513
K00025.01,FALSE POSITIVE,3.132605,136.009480,2.863500,9225.000000,0.000000,1.070000,10593759
K00026.01,FALSE POSITIVE,15.039464,144.137010,4.466900,6134.000000,0.000000,1.030000,5021737
K00027.01,FALSE POSITIVE,1.141877,170.338210,4.216900,306138.000000,0.000000,0.620000,3832716
K00028.01,FALSE POSITIVE,4.100867,168.145850,6.828400,111809.000000,0.000000,0.640000,4247791
K00031.01,FALSE POSITIVE,0.925585,169.691590,1.721900,368.000000,0.000000,0.000000,6956014
K00033.01,FALSE POSITIVE,0.366196,133.560310,1.144600,327.000000,0.000000,0.250000,5725087
K00041.01,CONFIRMED,12.815735,122.950600,6.538300,229.000000,0.000000,0.803100,6521045
K00041.02,CONFIRMED,6.887099,133.175800,4.476400,75.000000,0.000000,0.865000,6521045
K00041.03,CONFIRMED,35.333140,153.983900,6.142600,87.000000,0.000000,0.920000,6521045
K00042.01,CONFIRMED,17.834381,181.222320,4.655000,331.000000,0.000000,0.773000,8866102
K00043.01,FALSE POSITIVE,11.320258,177.085250,3.311900,6277.000000,0.000000,1.080000,9025922
K00044.01,FALSE POSITIVE,66.467694,160.474310,19.738000,12656.000000,0.000000,0.000000,8845026
K00045.01,FALSE POSITIVE,6.397191,174.363790,5.228300,16551.000000,0.000000,0.761000,3742855
K00046.01,CONFIRMED,3.487688,170.931490,4.023700,1295.000000,0.000000,0.753500,10905239
K00046.02,CONFIRMED,6.029080,132.515000,3.790900,61.000000,0.000000,0.837000,10905239
K00048.01,FALSE POSITIVE,23.837789,173.766801,5.998800,29591.000000,0.000000,1.016000,7837302
K00049.01,CANDIDATE,8.313759,175.991760,3.081900,816.000000,0.000000,0.750000,9527334
K00051.01,CANDIDATE,10.431163,133.934940,3.924000,26041.000000,0.000000,1.210000,6056992
K00052.01,FALSE POSITIVE,2.987862,168.010700,2.618000,42866.000000,0.000000,0.620000,3558981
K00053.01,FALSE POSITIVE,3.388886,172.258500,2.432400,10069.000000,0.000000,0.021000,2445975
K00061.01,FALSE POSITIVE,1.633462,181.854800,2.608200,550.000000,0.000000,0.032000,8248939
K00063.01,CONFIRMED,9.434158,177.842310,2.772600,4049.000000,0.000000,0.320000,11554435
K00064.01,FALSE POSITIVE,1.951091,157.540770,1.814300,1203.000000,0.000000,0.937000,7051180
K00065.01,FALSE POSITIVE,27.254720,176.529490,0.728300,36.000000,0.000000,1.020000,10223615
K00066.01,FALSE POSITIVE,0.436282,170.701637,1.306100,553.000000,0.000000,1.302400,10620329
K00068.01,FALSE POSITIVE,1.000840,121.294330,1.103900,2492.000000,0.000000,1.200000,8669092
K00069.01,CONFIRMED,4.726748,134.925070,2.934000,270.000000,0.000000,0.632000,3544595
K00070.01,CONFIRMED,10.854089,138.607520,3.822600,1028.000000,0.000000,0.656000,6850504
K00070.02,CONFIRMED,3.696116,134.500930,2.497300,387.000000,0.000000,0.700000,6850504
K00070.03,CONFIRMED,77.611530,164.727600,7.355200,825.000000,0.000000,0.651000,6850504
K00070.04,CONFIRMED,6.098496,135.933800,2.771600,80.000000,0.000000,0.729000,6850504
K00070.05,CONFIRMED,19.577090,135.214200,3.455500,94.000000,0.000000,0.819000,6850504
K00072.01,CONFIRMED,0.837491,131.574200,1.802900,195.000000,0.000000,0.174400,11904151
K00072.02,CONFIRMED,45.294060,138.678000,6.858600,495.000000,0.000000,0.067500,11904151
K00074.01,FALSE POSITIVE,5.188668,125.879600,5.026400,665.000000,0.000000,0.873600,6889235
K00075.01,CANDIDATE,105.885310,156.969900,18.330800,1628.000000,0.000000,0.682700,7199397
K00076.01,CANDIDATE,77.478480,154.709800,10.869200,1294.000000,0.000000,0.754000,9955262
K00080.01,FALSE POSITIVE,9.250597,135.405580,5.329200,1036.000000,0.000000,1.220000,9552608
K00081.01,FALSE POSITIVE,23.876191,143.070750,9.256100,1558.000000,0.000000,0.360500,8823868
K00082.01,CONFIRMED,16.145685,134.753440,3.754400,951.000000,0.000000,0.794000,10187017
K00082.02,CONFIRMED,10.311732,134.079800,3.207100,267.000000,0.000000,0.780000,10187017
K00082.03,CONFIRMED,27.453620,145.025800,3.828900,159.000000,0.000000,0.843000,10187017
K00082.04,CONFIRMED,7.071340,139.987500,3.263100,78.000000,0.000000,0.672000,10187017
K00082.05,CONFIRMED,5.286978,135.846600,2.439400,42.000000,0.000000,0.794000,10187017
K00084.01,CONFIRMED,9.287009,135.992000,3.540600,696.000000,0.000000,0.814000,2571238
K00085.01,CONFIRMED,5.859933,132.039520,4.107800,324.000000,0.000000,0.773000,5866724
K00085.02,CONFIRMED,2.154919,133.496300,3.230000,98.000000,0.000000,0.714000,5866724
K00085.03,CONFIRMED,8.131146,137.995300,4.363000,115.000000,0.000000,0.789000,5866724
K00087.01,CONFIRMED,289.862200,133.698400,7.399100,490.000000,0.000000,0.810000,10593626
K00088.01,FALSE POSITIVE,2.589832,133.882030,2.724800,311.000000,0.000000,0.027000,7700871
K00089.01,CANDIDATE,84.688950,150.565100,10.055500,342.000000,0.000000,0.010000,8056665
K00089.02,CANDIDATE,207.603500,289.868800,6.986800,479.000000,0.000000,0.878000,8056665
K00090.01,FALSE POSITIVE,0.828207,135.720950,1.900900,431.000000,0.000000,0.026000,9210823
K00092.01,CANDIDATE,65.704620,137.442500,3.762200,653.000000,0.000000,0.942000,7941200
K00094.01,CONFIRMED,22.343001,132.740470,6.698600,5490.000000,0.000000,0.305000,6462863
K00094.02,CONFIRMED,10.423707,138.007180,5.203900,771.000000,0.000000,0.019000,6462863
K00094.03,CONFIRMED,54.319930,161.239980,8.494300,1899.000000,0.000000,0.387000,6462863
K00094.04,CONFIRMED,3.743245,131.613900,3.602000,129.000000,0.000000,0.169000,6462863
K00097.01,CONFIRMED,4.885489,134.276079,5.229500,7489.000000,0.000000,0.514500,5780885
K00098.01,CONFIRMED,6.790124,138.087340,6.271100,2255.000000,0.000000,0.587800,10264660
K00099.01,CANDIDATE,579.931000,140.045300,21.218200,1816.000000,0.000000,0.824100,8505215
K00099.02,FALSE POSITIVE,79.878049,184.770440,3.190000,101.800000,0.061000,0.700000,8505215
K00100.01,CANDIDATE,9.966447,141.150800,5.124700,1591.000000,0.000000,0.990200,4055765
K00102.01,CANDIDATE,1.735137,135.059110,2.401700,920.000000,0.000000,0.814000,8456679
K00102.02,CANDIDATE,4.068545,132.263800,2.652500,73.000000,0.000000,0.854000,8456679
K00103.01,CANDIDATE,14.910755,141.339810,3.310400,861.000000,0.000000,0.650000,2444412
K00104.01,CONFIRMED,2.508059,134.999700,1.141900,1539.000000,0.000000,0.810000,10318874
K00105.01,CANDIDATE,8.981008,136.648710,1.897000,1077.000000,0.000000,0.700000,8711794
K00106.01,FALSE POSITIVE,1.612251,131.850450,3.017700,409.000000,0.000000,0.480000,10489525
K00107.01,CANDIDATE,7.256999,134.021110,5.110800,466.000000,0.000000,0.831000,11250587
K00108.01,CONFIRMED,15.965349,142.176300,4.651800,482.000000,0.000000,0.797000,4914423
K00108.02,CONFIRMED,179.601000,295.330400,13.436000,1234.000000,0.000000,0.622000,4914423
K00109.01,FALSE POSITIVE,6.414977,132.861400,2.958300,461.000000,0.000000,0.029000,4752451
K00110.01,CANDIDATE,9.940678,135.214710,3.976700,529.000000,0.000000,0.754000,9450647
K00111.01,CONFIRMED,11.427512,137.613900,4.586500,496.000000,0.000000,0.539000,6678383
K00111.02,CONFIRMED,23.668340,132.712900,5.756400,455.000000,0.000000,0.558000,6678383
K00111.03,CONFIRMED,51.756270,271.083200,7.385600,598.000000,0.000000,0.578000,6678383
K00111.04,FALSE POSITIVE,103.627000,426.373000,6.889000,56.000000,0.000000,0.790000,6678383
K00112.01,CANDIDATE,51.079310,185.179500,6.431600,768.000000,0.000000,0.615000,10984090
K00112.02,CANDIDATE,3.709191,133.985700,2.678200,136.000000,0.000000,0.595000,10984090
K00113.01,FALSE POSITIVE,386.602430,166.342190,6.809300,25086.000000,0.000000,1.179000,2306756
K00114.01,FALSE POSITIVE,7.361789,132.250300,3.885800,267.000000,0.000000,0.926000,6721123
K00115.01,CONFIRMED,5.412201,133.142370,2.820200,598.000000,0.000000,0.438000,9579641
K00115.02,CONFIRMED,7.125967,139.003200,2.825500,185.000000,0.000000,0.558000,9579641
K00115.03,CANDIDATE,3.435840,132.657000,2.614200,22.000000,0.000000,0.120000,9579641
K00116.01,CONFIRMED,13.570733,136.279900,3.246800,504.000000,0.000000,0.672000,8395660
K00116.02,CONFIRMED,43.844450,151.934400,6.328600,613.000000,0.000000,0.120000,8395660
K00116.03,CONFIRMED,6.165000,135.634000,2.746400,57.000000,0.000000,0.550000,8395660
K00116.04,CONFIRMED,23.980590,147.528000,4.678700,79.000000,0.000000,0.420000,8395660
K00117.01,CONFIRMED,14.749102,138.778800,6.715900,420.000000,0.000000,0.918200,10875245
K00117.02,CONFIRMED,4.901467,138.603900,4.410000,140.000000,0.000000,0.924000,10875245
